"student label","game score","coast","game scheduled","percent training sessions attended","overall fitness score","# extra strategy sessions attended","hours of sleep the night before game","early bird/night owl","previous competitive sports","# meals on day prior to game","university year"
1,37.76,"east coast","evening",0.96,0.,7,5,"night owl","curling",4,"sophomore"
2,35.76,"east coast","evening",1.,0.01,3,6,"night owl","curling",3,"senior"
3,0.,"east coast","evening",0.31,0.,2,5,"night owl","gymnastics",5,"sophomore"
4,18.66,"east coast","evening",0.12,0.8300000000000001,1,8,"night owl","baseball",6,"sophomore"
5,85.94,"east coast","evening",1.,1.,9,1,"night owl","martial arts",4,"junior"
6,35.58,"east coast","evening",0.88,0.,6,5,"night owl","martial arts",6,"sophomore"
7,31.470000000000002,"east coast","evening",0.74,0.,7,1,"night owl","gymnastics",3,"sophomore"
8,35.88,"east coast","evening",0.13,0.56,8,10,"night owl","frisbee",1,"junior"
9,21.86,"east coast","evening",0.,0.,2,8,"night owl","table tennis",4,"junior"
10,28.900000000000002,"east coast","evening",0.,0.54,8,3,"night owl","basketball",3,"frosh"
11,34.57,"east coast","evening",0.,0.52,9,12,"night owl","martial arts",2,"senior"
12,59.050000000000004,"east coast","evening",1.,0.96,2,2,"early bird","curling",5,"sophomore"
13,73.05,"east coast","evening",0.97,0.78,7,10,"night owl","basketball",3,"frosh"
14,34.79,"east coast","evening",0.32,0.12,5,4,"night owl","gymnastics",4,"junior"
15,89.36,"east coast","evening",0.93,1.,10,9,"night owl","table tennis",5,"frosh"
16,26.37,"east coast","evening",0.05,0.08,2,3,"night owl","football",3,"frosh"
17,61.38,"east coast","evening",0.93,1.,6,0,"early bird","curling",5,"sophomore"
18,26.39,"east coast","evening",0.17,0.9500000000000001,1,0,"night owl","table tennis",4,"junior"
19,45.61,"east coast","evening",0.,0.,7,7,"night owl","martial arts",2,"junior"
20,43.33,"east coast","evening",0.7000000000000001,0.,1,9,"night owl","martial arts",3,"sophomore"
21,23.740000000000002,"east coast","noon",0.,0.98,6,10,"night owl","curling",2,"sophomore"
22,47.06,"east coast","noon",0.88,0.5700000000000001,10,12,"early bird","baseball",6,"frosh"
23,62.92,"east coast","noon",0.92,0.99,0,1,"night owl","martial arts",2,"junior"
24,0.,"east coast","noon",0.14,0.,5,0,"night owl","gymnastics",5,"junior"
25,69.86,"east coast","noon",1.,0.97,9,12,"night owl","football",5,"junior"
26,7.65,"east coast","noon",0.11,0.19,0,0,"night owl","martial arts",3,"sophomore"
27,40.36,"east coast","noon",0.97,0.1,8,0,"night owl","martial arts",2,"junior"
28,61.65,"east coast","noon",1.,0.86,9,11,"early bird","table tennis",4,"senior"
29,28.14,"east coast","noon",1.,0.11,6,11,"night owl","baseball",3,"junior"
30,13.780000000000001,"east coast","noon",0.02,0.,6,11,"night owl","football",2,"junior"
31,55.480000000000004,"east coast","noon",1.,0.71,7,10,"night owl","curling",4,"senior"
32,41.69,"east coast","noon",0.75,0.03,10,9,"night owl","football",5,"sophomore"
33,55.46,"east coast","noon",0.98,0.71,8,7,"night owl","football",5,"junior"
